"HARD_CORAL","human50km"
4.9,58854
7.7,58854
30.3,58854
19.5,42822
13.4,42822
16.6,42822
40.3,164175
0.4,26320
30,102110
2.8,26320
2.2,26320
0.7,26493
6.9,25738
4.5,25683
2.3,25595
1.9,25363
0.7,25047
13.2,25451
12,24357
23.1,25109
10.7,23731
9,24665
14.4,24665
14.2,24665
23.7,24540
10,24540
2.6,28941
2.5,24893
5.9,33200
16.9,27292
1.3,24625
0.8,33143
2.4,26332
0.7,33076
5.2,31816
4,31894
0.6,40661
0.8,40941
1.2,40941
4.1,38853
40,41541
1.1,36989
1.1,32439
36.9,37647
20,33529
5,35034
3.8,34703
5.6,35947
0.5,36254
0.7,35668
2.3,35733
2.5,37414
8.1,36704
5.6,37163
5.1,40649
18.8,39981
4,40318
26.3,67124
4.6,39739
31.3,71787
19.1,71412
10.2,48995
0.1,132415
12.5,39529
13.8,38309
1.9,36442
0,131874
1.9,34682
18.1,47026
18.8,46812
2.1,129739
4.4,123394
1.5,122613
18.1,128191
25,128191
21.9,127940
10.9,177339
2.2,121281
5.4,121030
4.8,120016
17.5,175994
18.8,173968
25.6,175994
2.9,290647
4.2,290037
3.4,269494
6.1,653766
5,568184
8.8,289200
8.1,317642
41.3,505093
38.8,555738
27.5,404009
14.4,1736
14.4,1736
46.9,1736
11.3,1736
6.9,241858
19.4,246525
5.9,257797
12.1,265806
23.4,263288
25,263288
10.3,263288
20.3,263288
10.6,273672
9.4,273672
8.8,273672
9.5,275717
13.8,361903
29.4,361903
11.3,361903
16.9,540709
9.2,535821
6.6,533681
30.6,677389
28.1,635538
13,667477
13.8,667477
11.9,649672
26.3,684729
20,659445
19.1,698021
11.3,658541
1.9,230976
18.8,1457617
4.4,1527113
12.8,1499223
23.8,1541345
12.8,1557512
7.8,915439
21.3,2279
20,2395
33.8,83858
21.3,811273
35.9,158107
20,801848
38.1,571722
34.8,603005
4.4,721224
11.3,575259
9.4,1379
3.1,1379
16.3,1696
1.3,1541
12.5,303907
15,323502
41.3,309232
